p_out, 0.00, 0.02,0.04,0.06,0.08,0.10 ,0.12
NIRVAR, 0.902716, 0.904311, 0.908330, 0.912148,0.915178, 0.920279, 0.922513
LASSO, 0.914930, 0.914648, 0.916074, 0.917003, 0.917967, 0.917315, 0.918031
VAR1, 0.937386, 0.934936, 0.934655, 0.935548, 0.934769, 0.933725, 0.933887
BayesianVAR, 0.924034, 0.923153, 0.924124, 0.923480, 0.926236, 0.924521, 0.925695
