N, 50, 100,150,200,250,300
GuassianWishart,0.742730,0.822016,0.936400,0.952854,1.027714,1.127738
tWishart7,1.089868,1.232152,1.262120,1.333235,1.512340,1.559272
tWishart5,1.206547,1.370688,1.480274,1.541759,1.875765,1.976970
tWishart3,2.020292,2.329577,2.602518,2.457362,3.286690,3.703054
