N, 50, 100,150,200,250,300
NIRVAR, 0.861725,0.906587,0.967592,0.976141,1.013756,1.061948
LASSO,0.892017,0.931146,0.978752,1.023356,1.033911,1.024440
BayesianVAR, 0.909993,0.984533,1.297688,1.816519,1.822605,1.725013
